state,county,state_name,county_name,population,pctl_20,pctl_50,pctl_80,share_affordable_80_ami,share_affordable_50_ami,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,hpsa_yn,hpsa_yn_quality,asian_other,asian_other_quality,black_nonhispanic,black_nonhispanic_quality,hispanic,hispanic_quality,white_nonhispanic,white_nonhispanic_quality,election_turnout,election_turnout_quality,haz_idx,haz_idx_quality,poverty_exposure,poverty_exposure_quality,white_nh_exposure,white_nh_exposure_quality,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_.x,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,_FREQ_.y,learning_rate,learning_rate_lb,learning_rate_ub,num_grades_included,learning_rate_quality,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality,share_employed,share_employed_ub,share_employed_lb,average_to_living_wage_ratio
35,013,New Mexico,Doña Ana County,217522,14993.84,30595.53,84087.05,1.3371991156,1.2579509282,0.5526707102,0.61176132539999994,0.493580095,0.0809821953,0.1134033407,0.0485610498,0.0124437488,0.0256180673,-7.3057e-4,0.3006261006,0.3551189693,0.2461332319,0.0037566034,0.0110268982,-0.003513691,0.0495206418,0.0753037989,0.0237374846,1,3,0,3,0,3,0.8836867654573327,3,3.2099767981438516,3,0.5121275824574121,1,59.00201463309258,1,0.28202872602631285,1,0.6034179334064111,1,0.9333068928107936,1,0.27179697242620204,1,13.09,45.12,1,1,0.9234793006,1.0202313383,0.8267272628,29,0.2710956723,0.4328864003,0.1093049443,29,1.2106404,1.1136816,1.3075993,4,2,0.97830558,FRPL,1,0.94062799,1,0.93944097,1,0.98625481,1,0.7367403582,0.7789602683,0.6945204481,0.64919066
35,015,New Mexico,Eddy County,57900,20261.94,52377.11,106375.2,1.7527823903,2.0247846551,0.6358538139,0.6971168367,0.5745907911,0.0684119645,0.1005530012,0.0362709278,0.0446511753,0.0709465481,0.0183558025,0.229395344,0.2829244527,0.1758662353,0,0,0,0.0216877023,0.0402327274,0.0031426772,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.49482953830670523,1,75.02343436553963,1,0,1,0.4789527247327251,1,0.974949415792643,1,0.4985019044837235,1,48.89,50.77,1,1,0.6921200377,0.9339296035,0.4503104719,14,0.2515377856,0.418322388,0.0847531831,26,0.92620999,0.73826152,1.1141584,4,2,0.67396885,FRPL,1,0.63375002,1,0.66666669,1,0.69817626,1,0.7503414457,0.7981387592,0.7025441321,0.95941883
35,017,New Mexico,Grant County,27346,13879.43,32824.34,71929.89,1.4503807766,1.7945382897,0.6107727942,0.6814162543,0.5401293341,0.0928467283,0.1348955824,0.0507978743,0.0309632084,0.056060314,0.0058661028,0.173128053,0.2279473394,0.1183087665,0.0141950456,0.0313343984,-0.002944307,0.0780941706,0.1169703086,0.0392180326,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5721750781598928,1,96.64723748421663,1,0,1,0.4512740490229036,1,0.9669870533754057,1,0.4442176865237745,1,8.09,23.52,1,1,0.8116735254,1.0164775243,0.6068695266,14,0.6451355662,0.9766999001,0.3135712323,8,1.0288538,0.74016339,1.3175441,4,2,1,FRPL,1,1,1,1,1,1,1,0.710308012,0.7650279639,0.6555880602,0.69569743
35,019,New Mexico,Guadalupe County,4341,19147.53,40321.26,81047.76,1.6385698387,1.5552842136,0.6000670469,0.6661680923,0.5339660016,0.1602330489,0.2097290693,0.1107370286,0.0066641538,0.0176424616,-0.004314154,0.1743995998,0.2255999031,0.1231992966,0,0,0,0.0586361506,0.0903373962,0.0269349049,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5190340909090909,1,93,1,0,1,0.7950707439525331,1,0.9885896850753081,1,0.21633957097215883,1,0,0,1,1,0.8911007177,1.035012292,0.7471891433,18,0.2949291573,0.4854839883,0.1043743263,22,0.82632512,0.1453867,1.5072635,4,2,0.99723756,FRPL,1,1,1,NA,NA,0.99703705,1,0.7605328635,0.8072187391,0.7138469879,0.51108372
35,021,New Mexico,Harding County,655,19147.53,40321.26,81047.76,1.6385698688,1.5552842795,0.6000670759,0.6661681205,0.5339660314,0.1602330063,0.2097290214,0.1107369913,0.0066641512,0.0176424569,-0.004314154,0.174399612,0.22559991670000001,0.1231993074,0,0,0,0.0586361545,0.0903374012,0.0269349078,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,98,1,0,1,0.37254901960784315,1,NA,NA,0.6274509803921569,1,1,10,1,1,0.891100705,1.0350122867,0.7471891233,18,0.2949291573,0.4854839883,0.1043743263,22,NA,NA,NA,NA,NA,0.18292683,FRPL,1,0.26190478,1,NA,NA,0.1,1,0.7605328469,0.8072187236,0.7138469702,0.57969737
35,023,New Mexico,Hidalgo County,4240,13879.43,32824.34,71929.89,1.4503808009,1.7945383181,0.6107727936,0.6814162537,0.5401293334,0.092846739,0.1348955953,0.0507978828,0.0309632045,0.0560603086,0.0058661005,0.1731280396,0.2279473244,0.1183087549,0.0141950436,0.0313343953,-0.002944308,0.0780941797,0.1169703198,0.0392180396,1,1,0,2,0,2,0.8014520202020201,2,2.131821998320739,2,0.5724770642201835,1,80.6191381495564,1,0,1,0.3820733573056997,1,0.9937411688870608,1,0.27370716706697173,1,2.63,14.05,1,1,0.8116735883,1.0164775609,0.6068696157,14,0.6451355662,0.9766999001,0.3135712323,8,1.3035564,0.50736666,2.0997462,4,2,1,FRPL,1,1,1,1,3,1,1,0.7103080236,0.7650279748,0.6555880724,0.66238564
35,025,New Mexico,Lea County,69611,20261.94,52377.11,106375.2,1.7729727563,2.0290570943,0.6358538121,0.697116835,0.5745907893,0.0684119648,0.1005530016,0.0362709281,0.0446511464,0.0709465112,0.0183557817,0.2293953657,0.2829244762,0.1758662552,0,0,0,0.0216877109,0.0402327396,0.0031426822,1,1,45.673875905425724,3,14.08528348103994,3,0.658901350318529,3,0.8479381371588554,3,0.4346503067484663,1,84.13423350678869,1,0,1,0.5515917387426904,1,0.9154705612322969,1,0.38681215460412394,1,46.94,69.09,1,1,0.6921200515,0.9339296143,0.4503104887,14,0.2515377856,0.418322388,0.0847531831,26,1.1054136,0.93777645,1.2730507,4,2,0.83377612,FRPL,1,0.8191247,1,0.79503107,1,0.84069371,1,0.7503414271,0.7981387419,0.7025441124,0.86804396
35,027,New Mexico,Lincoln County,19556,18640.98,42550.07,80034.66,1.6149782249,1.7899579133,0.6078414821,0.6674176016,0.5482653626,0.0578682154,0.0863601599,0.0293762708,0.0552506396,0.0831293818,0.0273718973,0.2190886403,0.2695613962,0.1686158844,0,0,0,0.0599510226,0.0889191057,0.0309829396,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5801238188334963,1,98.40422577125285,1,0,1,0.3285511110209171,1,0.9807058617104653,1,0.6623709554518816,1,7.32,11.13,1,1,0.9094036821,1.0352019615,0.7836054026,20,0.546222664,0.7243791765,0.3680661515,30,0.82347655,0.47066638,1.1762867,4,2,1,FRPL,1,1,1,1,3,1,1,0.7619838691,0.8059156243,0.718052114,0.50933647
35,028,New Mexico,Los Alamos County,19101,9320.492,37889.83,104349,1.4095998885,1.4315363787,0.6202072318,0.6818680597,0.558546404,0.1020965837,0.1405635565,0.063629611,0.0439712848,0.0700200798,0.0179224897,0.1817180455,0.230709249,0.132726842,0.0088921526,0.0208191605,-0.003034855,0.0431147015,0.0689200796,0.0173093235,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.8325047801147227,1,97.66746411483254,1,0,1,0.17735194981021238,1,0.9896492236917769,1,0.819162881182845,1,89.41,80.19,1,1,1,1,1,9,0.7349066959,0.9079287838,0.5618846081,25,1.3224217,1.0014114,1.6434319,4,2,0,FRPL,1,0,1,0,1,0,1,0.6699256023,0.7149521104,0.6248990943,1.3100961
35,029,New Mexico,Luna County,23963,13879.43,32824.34,71929.89,1.4503807715,1.7945383014,0.6107727907,0.6814162509,0.5401293305,0.0928467242,0.1348955774,0.050797871,0.0309632063,0.056060311,0.0058661015,0.1731280578,0.2279473448,0.1183087708,0.0141950381,0.0313343866,-0.00294431,0.0780941829,0.1169703237,0.039218042,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.47914614121510674,1,75.83893854972541,1,0,1,0.6460439808323724,1,0.9677549914798,1,0.32240469739066413,1,0.12,13.2,1,1,0.8116734921,1.0164775049,0.6068694794,14,0.6451355662,0.9766999001,0.3135712323,8,0.90290481,0.63974011,1.1660695,4,2,1,FRPL,1,1,1,1,1,1,1,0.7103080333,0.7650279839,0.6555880826,0.59729064
