year,state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
2016,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,0.95359409,1,0.94418889,1,0.68140024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9%:23.7%,1,4.3%:7.6%,3,5.3%:8.8%,1,77.5%:59.9%,1,2613,2612,2614,0.1093534231,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,0.95608425,1,0.94647717,1,0.67662466,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9%:28.0%,1,3.5%:8.5%,3,5.8%:8.7%,1,74.7%:54.8%,1,1723,1723,1723,0.0739738941,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,0.98694605,1,0.95986038,1,0.70684409,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0%:28.8%,1,2.6%:8.3%,3,4.3%:7.5%,1,73.0%:55.3%,1,1694,1694,1694,0.0751819611,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5%:23.4%,1,4.5%:9.3%,3,11.0%:8.1%,1,64.0%:59.2%,1,1711,1711,1711,0.0699623823,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4590204985234151,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6091446696343835,3,1,1,NA,NA,NA,NA,NA,NA,NA
2021,36,73000,New York,Syracuse city,0.527682530983815,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9597683303824271,1,0.7113863510944877,1,13131.582000000002,38107.336,86524.25128,1,NA,NA,28.8%:23.3%,1,3.5%:8.3%,3,8.8%:8.9%,1,58.8%:59.5%,1,NA,NA,NA,NA,NA,1.3604017509537685,1.2638413250933769,0.8945184155830175,1,NA,NA,0.1355148145877191,0.2754443695028648,0.09469890517165028,0.4943419107377658,0.3968073049443729,1,0.5861702245215588,1,0.8532087213516293,1,0.8126419780761365,1,0.4065213032448205,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7250381324516302,1
2014,39,01000,Ohio,Akron city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0%:25.8%,2,0.4%:0.6%,3,1.3%:4.6%,2,83.2%:69.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,39,01000,Ohio,Akron city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4%:26.9%,2,2.1%:1.7%,3,1.3%:5.2%,3,84.1%:66.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,39,01000,Ohio,Akron city,NA,NA,0.88339424,0.71676862,1.0500199,1,0.85851485,1,0.76915008,1,0.4569115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7%:28.2%,2,1.1%:1.7%,3,1.9%:5.1%,2,76.3%:65.1%,2,1065,1062,1068,0.0390524715,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,39,01000,Ohio,Akron city,NA,NA,0.77686441,0.58937722,0.96435153,1,0.79383296,1,0.67765188,1,0.40121087,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6%:27.3%,2,0.6%:1.4%,3,2.9%:5.8%,2,83.9%:65.4%,2,1304,1302,1306,0.0446636528,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,39,01000,Ohio,Akron city,NA,NA,NA,NA,NA,NA,0.8358739,1,0.72850239,1,0.41063538,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0%:26.9%,2,0.6%:1.6%,3,3.7%:5.6%,2,84.7%:65.8%,2,1145,1144,1146,0.0425587259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,39,01000,Ohio,Akron city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9%:27.4%,2,2.4%:4.1%,3,3.0%:4.3%,2,79.7%:64.1%,2,1165,1160,1170,0.0431353673,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,39,01000,Ohio,Akron city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5311736671160238,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6376378652746473,2,0.7,1,NA,NA,NA,NA,NA,NA,NA
2021,39,01000,Ohio,Akron city,0.29887569238163003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9748176471178848,1,0.8617475180564332,1,18170.471782303783,43256.976,89191.7648,1,0.46317,1,11.3%:23.1%,2,1.6%:2.6%,3,9.0%:11.7%,2,78.1%:62.6%,2,NA,NA,NA,NA,NA,1.5101011943425495,1.6776988451970627,1.0991708825570583,1,NA,NA,0.1046411430779756,0.29863225456045706,0.03231096233085966,0.5644156400307077,0.1647464615114056,1,0.5320340151440636,1,0.9341307100870784,1,0.8419489284126653,1,0.33733729125683237,1,NA,NA,NA,NA,NA,NA,1249.7840234982434,1,2784.0591592987366,6133.703775269867,1,0.759064016990986,1
2014,39,21000,Ohio,Dayton city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6%:37.2%,2,0.9%:1.7%,3,2.2%:2.4%,2,66.2%:58.6%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,39,21000,Ohio,Dayton city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7%:37.4%,2,1.2%:2.7%,3,4.9%:4.8%,2,72.1%:55.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,39,21000,Ohio,Dayton city,NA,NA,0.9332369,0.75459015,1.1118836,1,0.93665129,1,0.79576892,1,0.65030444,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1%:35.9%,2,2.0%:2.4%,3,2.1%:3.1%,2,72.9%:58.7%,2,745,737,753,0.0332693234,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,39,21000,Ohio,Dayton city,NA,NA,0.88076675,0.66483939,1.0966941,1,0.94884741,1,0.81026059,1,0.66244531,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4%:38.3%,2,1.1%:2.6%,3,4.3%:4.3%,2,73.2%:54.8%,2,747,743,751,0.0332059041,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,39,21000,Ohio,Dayton city,NA,NA,NA,NA,NA,NA,0.89103955,1,0.73656321,1,0.56155062,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1%:35.7%,2,1.7%:2.8%,3,2.3%:5.0%,2,76.9%:56.5%,2,585,581,589,0.0219850428,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,39,21000,Ohio,Dayton city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8%:37.6%,2,2.0%:2.7%,3,3.2%:5.6%,2,69.9%:54.1%,2,748,742,754,0.0284833014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,39,21000,Ohio,Dayton city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4905256905986229,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5899269193405837,3,1.4,2,NA,NA,NA,NA,NA,NA,NA
2021,39,21000,Ohio,Dayton city,0.569473383040012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9171167828984652,1,0.75999884406427,1,17920.7472,42536.0264,79819.42,1,NA,NA,18.4%:35.5%,2,1.9%:4.1%,3,7.3%:5.0%,2,72.4%:55.4%,2,NA,NA,NA,NA,NA,1.5463797356823492,1.6590826081883383,1.3580290586182762,1,NA,NA,0.06104063114090857,0.3829181597503179,0.0495390706276731,0.5065021384811005,0.26229507831592713,1,0.31830279160976527,1,0.9106224346986715,1,0.9135387390719908,1,0.2904013939643739,1,NA,NA,NA,NA,NA,NA,11169.731685257762,2,2804.5890648479945,5412.669055600509,2,0.7425507165561849,1
2014,55,53000,Wisconsin,Milwaukee city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1%:39.2%,1,10.6%:12.6%,1,3.6%:4.8%,1,65.8%:43.4%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,55,53000,Wisconsin,Milwaukee city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5%:39.7%,1,11.0%:14.4%,1,3.7%:4.3%,1,68.8%:41.6%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,55,53000,Wisconsin,Milwaukee city,NA,NA,1.1481248,1.0816811,1.2145685,1,0.94188237,1,0.90500462,1,0.73380792,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8%:41.1%,1,10.3%:14.0%,1,3.4%:4.1%,1,65.5%:40.7%,1,4659,4646,4672,0.055243969,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,55,53000,Wisconsin,Milwaukee city,NA,NA,1.0969625,1.0282747,1.1656501,1,0.91782951,1,0.85378569,1,0.60645092,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6%:39.5%,1,9.1%:14.7%,1,6.9%:6.0%,1,67.4%:39.9%,1,4799,4797,4801,0.0585779659,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,55,53000,Wisconsin,Milwaukee city,NA,NA,NA,NA,NA,NA,0.89299798,1,0.79296911,1,0.44988987,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5%:39.7%,1,13.6%:15.8%,1,3.4%:5.4%,1,67.5%:39.2%,1,5225,5225,5225,0.0661467761,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,55,53000,Wisconsin,Milwaukee city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8%:39.8%,1,15.4%:16.3%,1,4.4%:5.2%,1,59.3%:38.7%,1,4916,4914,4918,0.0615723766,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,55,53000,Wisconsin,Milwaukee city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6104006594212831,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657015116496381,2,0.3,1,NA,NA,NA,NA,NA,NA,NA
2021,55,53000,Wisconsin,Milwaukee city,0.2590049706834895,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8752767878038014,1,0.8111633039201104,1,19568.632,47994.6448,97843.16,1,0.58225,1,22.1%:40.8%,1,12.1%:15.1%,1,6.2%:6.5%,1,59.6%:37.6%,1,NA,NA,NA,NA,NA,1.449677414895981,1.3685851902835815,0.7212202301243412,1,NA,NA,0.08307880691389455,0.3885035921950612,0.19858422201391215,0.32983337887713204,0.3054114284076664,1,0.30860267196438557,1,0.49934724629091887,1,0.8594480388965244,1,0.43251341081693184,1,NA,NA,NA,NA,NA,NA,1717.2696754942187,2,2478.9086091615677,5668.300478382838,2,0.7544930826862829,1
