year,state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
2014,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4%:37.9%,1,3.3%:9.1%,1,7.9%:4.8%,1,70.4%:48.2%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8%:37.2%,1,5.6%:10.1%,3,6.2%:4.6%,3,68.4%:48.1%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,0.94035912,1,0.90622318,1,0.58921403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4%:37.4%,1,2.5%:7.5%,1,6.7%:6.3%,1,73.4%:48.8%,1,1935,1933,1937,0.0400803685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,0.96901721,1,0.92635703,1,0.62168086,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7%:36.5%,1,3.8%:8.9%,1,6.3%:6.5%,1,67.2%:48.1%,1,2238,2232,2244,0.0450202152,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,0.96733743,1,0.9252919,1,0.61239296,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6%:35.6%,1,5.9%:10.6%,1,8.0%:6.8%,1,67.5%:47.1%,1,1621,1617,1625,0.0334261246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3%:35.7%,1,4.6%:10.4%,1,4.6%:6.8%,1,63.4%:47.0%,1,1392,1389,1395,0.0281325784,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,36,11000,New York,Buffalo city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5319202293084463,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6866649943433193,2,0.5,1,NA,NA,NA,NA,NA,NA,NA
2021,36,11000,New York,Buffalo city,0.31514920103269695,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8873832744771829,1,0.841980935542424,1,14521.9848,40991.1344,88573.808,1,0.3823,1,25.5%:31.2%,1,3.3%:10.1%,1,7.6%:8.2%,1,63.5%:50.5%,1,NA,NA,NA,NA,NA,1.3234534949781305,1.315713361944302,0.931598133882774,1,NA,NA,0.10869132027346735,0.32313567212900934,0.12161471825398264,0.44655828934354064,0.270785297707853,1,0.41015778557836446,1,0.7776570492293642,1,0.8046203418219585,1,0.35912140644857155,1,NA,NA,NA,NA,NA,NA,697.0730427613087,2,2715.1091804312146,6093.960023332404,2,0.6791212231946252,1
2014,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0%:26.6%,1,12.2%:6.8%,3,3.3%:7.7%,3,70.6%:58.9%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,36,73000,New York,Syracuse city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3%:28.6%,1,2.6%:6.0%,3,6.8%:6.0%,3,79.4%:59.3%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
