state,county,fips,comparisons,random_id
California,Alameda County,6001,,1
California,Riverside County,6065,,1
District of Columbia,District of Columbia,11001,,1
Florida,St Lucie County,12111,,1
Minnesota,Ramsey County,27123,,1
Missouri,Boone County,29019,,1
Ohio,County of Summit Ohio,39153,,1
Pennsylvania,Philadelphia,42101,,1
