state,county,state_name,county_name,population,pctl_20,pctl_50,pctl_80,share_affordable_80_ami,share_affordable_50_ami,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,asian_other,asian_other_quality,black_nonhispanic,black_nonhispanic_quality,hispanic,hispanic_quality,white_nonhispanic,white_nonhispanic_quality,election_turnout,election_turnout_quality,poverty_exposure,poverty_exposure_quality,white_nh_exposure,white_nh_exposure_quality,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_.x,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,_FREQ_.y,share_employed,share_employed_ub,share_employed_lb,average_to_living_wage_ratio
1,1,Alabama,Autauga County,55601,20160.63,53694.14,102322.8,1.6756088,1.582390976,0.672138548,0.723815991,0.620461104,0.039787795,0.061304957,0.018270633,0.058455527,0.084281676,0.032629378,0.190831283,0.234089714,0.147572852,0.006581252,0.015482417,-0.002319914,0.032205596,0.051640557,0.012770636,NA,NA,NA,NA,NA,NA,NA,NA,0.613738019,1,0,1,0.200039988,1,0.739962679,1,0.929395437,1,16.43,18.5,1,1,0.85275286,0.994523232,0.710982489,24,0.193618443,0.317631503,0.069605383,39,0.763375048,0.800517565,0.726232532,0.65351963
1,3,Alabama,Baldwin County,218022,25327.42,55315.1,112960.3,1.773426776,1.494333493,0.660844223,0.71146579,0.610222655,0.02531525,0.042111396,0.008519105,0.052135319,0.075905125,0.028365514,0.201417197,0.244301137,0.158533257,0,0,0,0.060288011,0.085738685,0.034837337,0,3,0.422547652,3,0,3,1.522751642,3,0.627363774,1,0,1,0.127038567,1,0.799858375,1,0.924008974,1,27.47,22.51,1,1,0.812333966,0.959610764,0.665057168,27,0.514122062,0.699250768,0.328993356,28,0.816046065,0.849838716,0.782253414,0.61715484
1,5,Alabama,Barbour County,24881,12157.16,34040.06,75982.27,1.523643635,1.359338983,0.45346029,0.515420192,0.391500388,0.023786645,0.042752359,0.004820931,0.066264888,0.097223666,0.03530611,0.406731283,0.467869074,0.345593492,0,0,0,0.049756895,0.076819789,0.022694002,NA,NA,NA,NA,NA,NA,NA,NA,0.513815951,1,0,1,0.48631201,1,0.490241563,1,0.935491736,1,1.29,7.16,1,1,0.843301837,1.006758545,0.67984513,19,0.349230769,0.532478731,0.165982807,26,0.640617053,0.686235405,0.594998702,0.67505515
1,7,Alabama,Bibb County,22400,10130.97,28164.1,73246.91,1.369008051,1.507368596,0.305939379,0.373826256,0.238052502,0.023149823,0.045304084,9.96E-04,0.122151483,0.170393849,0.073909117,0.473739432,0.547299076,0.400179787,0,0,0,0.075019883,0.113828113,0.036211654,NA,NA,NA,NA,NA,NA,NA,NA,0.501364412,1,0,1,0.193035433,1,0.61453603,1,0.963881571,1,21.53,26.37,1,1,0.889021018,1.042933011,0.735109024,16,0.455771644,0.668786875,0.242756412,21,0.603001279,0.657119675,0.548882883,0.67442268
1,9,Alabama,Blount County,57840,22592.06,52468.29,95940.29,1.62383835,1.564952308,0.749650653,0.805760751,0.693540556,0.021359112,0.040084964,0.002633259,0.050674427,0.079082406,0.022266447,0.139761039,0.18467082,0.094851257,0,0,0,0.03855477,0.063491509,0.013618031,NA,NA,NA,NA,NA,NA,NA,NA,0.60306387,1,0,1,0.098790911,1,0.970257311,1,0.852001105,1,20.31,20.54,1,1,0.903599752,1.02983294,0.777366564,21,0.230997305,0.393005425,0.068989184,26,0.721303319,0.765187576,0.677419062,0.59919524
1,11,Alabama,Bullock County,10138,12157.16,34040.06,75982.27,1.523643682,1.359339029,0.453460243,0.515420145,0.391500342,0.023786647,0.042752361,0.004820932,0.066264883,0.097223659,0.035306106,0.406731334,0.467869126,0.345593542,0,0,0,0.049756894,0.076819787,0.022694001,0,3,0.766165974,3,0,3,2.923577236,3,0.574740696,1,0.934488797,1,0.687297396,1,0.21267985,1,0.994117506,1,0,9.23,1,1,0.843301858,1.006758557,0.67984516,19,0.349230769,0.532478731,0.165982807,26,0.640617047,0.686235398,0.594998695,0.62476832
1,13,Alabama,Butler County,19680,16918.72,47615.56,97257.31,2.022614387,2.103006447,0.474676346,0.524753157,0.424599535,0.082700701,0.11032139,0.055080011,0.021711229,0.036326273,0.007096185,0.377342576,0.425951598,0.328733555,8.07E-04,0.003654192,-0.00204052,0.042762312,0.06305151,0.022473114,0,3,0.594527938,3,0,3,1.721682848,3,0.566094003,1,0,1,0.371427065,1,0.447576192,1,0.990537796,1,1.61,2.62,1,1,0.759803926,0.905562067,0.614045786,33,0.358383686,0.515028721,0.20173865,36,0.744421995,0.777475258,0.711368731,0.62106049
1,15,Alabama,Calhoun County,114277,19451.46,47311.63,95433.74,1.684245377,1.504541358,0.465097203,0.537364169,0.392830236,0.161676647,0.2150175,0.108335794,0.061028628,0.095712175,0.026345081,0.19005824,0.246904353,0.133212127,0.045238291,0.075349702,0.015126879,0.076900993,0.115503956,0.03829803,NA,NA,NA,NA,NA,NA,NA,NA,0.540683423,1,0.201213384,1,0.190272019,1,0.606924675,1,0.908770672,1,13.22,24.45,1,1,0.884577114,1.005105129,0.7640491,27,0.422954726,0.624858315,0.221051137,23,0.74168339,0.790887879,0.692478902,0.69897389
1,17,Alabama,Chambers County,33615,15804.31,42854,84593.6,1.868884157,1.784736061,0.477074425,0.543076523,0.411072327,0.080140744,0.116019065,0.044262424,0.07755556,0.112900017,0.042211104,0.299522474,0.360050504,0.238994444,0,0,0,0.065706797,0.098447762,0.032965832,NA,NA,NA,NA,NA,NA,NA,NA,0.524924471,1,0,1,0.381255283,1,0.558053437,1,0.94793624,1,2.89,2.92,1,1,0.880339966,0.998469052,0.76221088,29,0.468838527,0.721381548,0.216295506,15,0.664556568,0.711118731,0.617994405,0.66812706
1,19,Alabama,Cherokee County,26032,15500.38,38497.69,80034.66,1.668368032,1.801275076,0.535801702,0.593102859,0.478500545,0.033311763,0.053930004,0.012693523,0.087471515,0.119932831,0.0550102,0.285372653,0.337259296,0.233486011,0.01156346,0.023847122,-7.20E-04,0.046478907,0.070667058,0.022290755,NA,NA,NA,NA,NA,NA,NA,NA,0.523433309,1,0,1,0.063503406,1,0.938930027,1,0.979378572,1,4.36,51.95,1,1,0.79606796,0.972655021,0.619480899,20,0.374320652,0.564027877,0.184613427,25,0.714860406,0.755852726,0.673868086,0.61457181
