state,county,fips,comparisons,random_id
Community Foundation for Greater Buffalo,Erie,36029,36063; 36121; 36055; 26163; 42003; 39035; 37119,102
Greater Cincinnati Foundation,Hamilton,39061,39165; 39017; 39025; 21037; 21015; 21117; 18029,573
Southwest Initiative Foundation 1,Big Stone,27011,27023; 27033; 27063; 27067; 27073; 27081; 27083,821
Southwest Initiative Foundation 2,McLeod,27085,27093; 27101; 27105; 27117; 27127; 27129; 27133,908
Southwest Initiative Foundation 3,Swift,27151,27173; 27123; 27053,762
