year,state,county,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2018,1,1,all,All,0,1
2018,1,1,race-ethnicity,Black,0,2
2018,1,1,race-ethnicity,Hispanic,0,3
2018,1,1,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,1,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,3,all,All,0,1
2018,1,3,race-ethnicity,Black,0,2
2018,1,3,race-ethnicity,Hispanic,0,3
2018,1,3,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,3,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,5,all,All,0,1
2018,1,5,race-ethnicity,Black,0,1
2018,1,5,race-ethnicity,Hispanic,0,3
2018,1,5,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,5,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,7,all,All,0,2
2018,1,7,race-ethnicity,Black,0,3
2018,1,7,race-ethnicity,Hispanic,NA,NA
2018,1,7,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,7,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,9,all,All,0,1
2018,1,9,race-ethnicity,Black,0,3
2018,1,9,race-ethnicity,Hispanic,0,2
2018,1,9,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,9,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,11,all,All,0.918649518,2
2018,1,11,race-ethnicity,Black,0.926664414,2
2018,1,11,race-ethnicity,Hispanic,1,3
2018,1,11,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,11,race-ethnicity,"White, Non-Hispanic",0.604395604,3
2018,1,13,all,All,0,1
2018,1,13,race-ethnicity,Black,0,1
2018,1,13,race-ethnicity,Hispanic,0,3
2018,1,13,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,13,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,15,all,All,0.16316826,1
2018,1,15,race-ethnicity,Black,0.27907855,1
2018,1,15,race-ethnicity,Hispanic,0.019826518,3
2018,1,15,race-ethnicity,Other Races and Ethnicities,0.152766309,2
2018,1,15,race-ethnicity,"White, Non-Hispanic",0.089980105,1
2018,1,17,all,All,0,1
2018,1,17,race-ethnicity,Black,0,2
2018,1,17,race-ethnicity,Hispanic,0,3
2018,1,17,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,17,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,19,all,All,0,1
2018,1,19,race-ethnicity,Black,0,3
2018,1,19,race-ethnicity,Hispanic,0,3
