year,state,county,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2018,1,19,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,19,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,21,all,All,0,1
2018,1,21,race-ethnicity,Black,0,2
2018,1,21,race-ethnicity,Hispanic,0,3
2018,1,21,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,21,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,23,all,All,0,1
2018,1,23,race-ethnicity,Black,0,1
2018,1,23,race-ethnicity,Hispanic,0,3
2018,1,23,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,23,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,25,all,All,0.120400788,1
2018,1,25,race-ethnicity,Black,0.16538192,1
2018,1,25,race-ethnicity,Hispanic,NA,NA
2018,1,25,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,25,race-ethnicity,"White, Non-Hispanic",0.014285714,2
2018,1,27,all,All,0,2
2018,1,27,race-ethnicity,Black,0,2
2018,1,27,race-ethnicity,Hispanic,0,3
2018,1,27,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,27,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,29,all,All,0,1
2018,1,29,race-ethnicity,Black,0,3
2018,1,29,race-ethnicity,Hispanic,0,2
2018,1,29,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,29,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,31,all,All,0,1
2018,1,31,race-ethnicity,Black,0,2
2018,1,31,race-ethnicity,Hispanic,0,3
2018,1,31,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,31,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,33,all,All,0.089243028,1
2018,1,33,race-ethnicity,Black,0.146979261,2
2018,1,33,race-ethnicity,Hispanic,0,3
2018,1,33,race-ethnicity,Other Races and Ethnicities,0.177696078,3
2018,1,33,race-ethnicity,"White, Non-Hispanic",0.055163906,1
2018,1,35,all,All,0,2
2018,1,35,race-ethnicity,Black,0,2
2018,1,35,race-ethnicity,Hispanic,NA,NA
2018,1,35,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,35,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,37,all,All,0,2
2018,1,37,race-ethnicity,Black,0,3
2018,1,37,race-ethnicity,Hispanic,NA,NA
2018,1,37,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,37,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,39,all,All,0.094151,1
2018,1,39,race-ethnicity,Black,0.180083482,1
2018,1,39,race-ethnicity,Hispanic,0,3
2018,1,39,race-ethnicity,Other Races and Ethnicities,0.418300654,3
2018,1,39,race-ethnicity,"White, Non-Hispanic",0.056335034,1
2018,1,41,all,All,0,1
2018,1,41,race-ethnicity,Black,0,2
2018,1,41,race-ethnicity,Hispanic,NA,NA
2018,1,41,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,41,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,43,all,All,0,1
2018,1,43,race-ethnicity,Black,0,3
2018,1,43,race-ethnicity,Hispanic,0,2
2018,1,43,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,43,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,45,all,All,0,1
2018,1,45,race-ethnicity,Black,0,2
2018,1,45,race-ethnicity,Hispanic,0,3
2018,1,45,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,45,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,47,all,All,0.455213522,1
2018,1,47,race-ethnicity,Black,0.505379388,1
2018,1,47,race-ethnicity,Hispanic,0,3
2018,1,47,race-ethnicity,Other Races and Ethnicities,0.034090909,3
2018,1,47,race-ethnicity,"White, Non-Hispanic",0.150070126,2
2018,1,49,all,All,0,1
2018,1,49,race-ethnicity,Black,0,3
2018,1,49,race-ethnicity,Hispanic,0,2
2018,1,49,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,49,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,51,all,All,0,1
2018,1,51,race-ethnicity,Black,0,2
2018,1,51,race-ethnicity,Hispanic,0,3
2018,1,51,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,51,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,53,all,All,0.09107402,1
2018,1,53,race-ethnicity,Black,0.184630739,1
2018,1,53,race-ethnicity,Hispanic,0,3
2018,1,53,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,53,race-ethnicity,"White, Non-Hispanic",0.003633315,1
2018,1,55,all,All,0.09706688,1
2018,1,55,race-ethnicity,Black,0.16591745,1
2018,1,55,race-ethnicity,Hispanic,0.317269076,2
2018,1,55,race-ethnicity,Other Races and Ethnicities,0.285488959,2
2018,1,55,race-ethnicity,"White, Non-Hispanic",0.036917834,1
2018,1,57,all,All,0,1
2018,1,57,race-ethnicity,Black,0,3
2018,1,57,race-ethnicity,Hispanic,0,3
2018,1,57,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,57,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,59,all,All,0,1
2018,1,59,race-ethnicity,Black,0,3
2018,1,59,race-ethnicity,Hispanic,0,2
2018,1,59,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,59,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,61,all,All,0,1
2018,1,61,race-ethnicity,Black,0,2
2018,1,61,race-ethnicity,Hispanic,0,3
2018,1,61,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,61,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,63,all,All,0.661085271,1
2018,1,63,race-ethnicity,Black,0.645641389,2
2018,1,63,race-ethnicity,Hispanic,1,3
2018,1,63,race-ethnicity,Other Races and Ethnicities,1,3
2018,1,63,race-ethnicity,"White, Non-Hispanic",0.62195122,3
2018,1,65,all,All,0,1
2018,1,65,race-ethnicity,Black,0,1
2018,1,65,race-ethnicity,Hispanic,NA,NA
2018,1,65,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,65,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,67,all,All,0,1
2018,1,67,race-ethnicity,Black,0,2
2018,1,67,race-ethnicity,Hispanic,NA,NA
2018,1,67,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,67,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,69,all,All,0.117749696,1
2018,1,69,race-ethnicity,Black,0.185952178,1
2018,1,69,race-ethnicity,Hispanic,0.098101266,2
2018,1,69,race-ethnicity,Other Races and Ethnicities,0.0509684,1
2018,1,69,race-ethnicity,"White, Non-Hispanic",0.048091603,1
2018,1,71,all,All,0,1
2018,1,71,race-ethnicity,Black,0,3
2018,1,71,race-ethnicity,Hispanic,0,3
2018,1,71,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,71,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,73,all,All,0.170736598,1
2018,1,73,race-ethnicity,Black,0.22618292,1
2018,1,73,race-ethnicity,Hispanic,0.092929834,1
2018,1,73,race-ethnicity,Other Races and Ethnicities,0.096605744,1
2018,1,73,race-ethnicity,"White, Non-Hispanic",0.062014447,1
2018,1,75,all,All,0,2
2018,1,75,race-ethnicity,Black,0,2
2018,1,75,race-ethnicity,Hispanic,0,3
2018,1,75,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,75,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,77,all,All,0.040866963,1
2018,1,77,race-ethnicity,Black,0.214811784,2
2018,1,77,race-ethnicity,Hispanic,0,3
2018,1,77,race-ethnicity,Other Races and Ethnicities,0.014492754,2
2018,1,77,race-ethnicity,"White, Non-Hispanic",0.00273919,1
2018,1,79,all,All,0,1
2018,1,79,race-ethnicity,Black,0,2
2018,1,79,race-ethnicity,Hispanic,0,3
2018,1,79,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,79,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,81,all,All,0.235989639,1
2018,1,81,race-ethnicity,Black,0.069712448,1
2018,1,81,race-ethnicity,Hispanic,0.239347235,2
2018,1,81,race-ethnicity,Other Races and Ethnicities,0.272227314,2
2018,1,81,race-ethnicity,"White, Non-Hispanic",0.322426509,1
2018,1,83,all,All,0,1
2018,1,83,race-ethnicity,Black,0,2
2018,1,83,race-ethnicity,Hispanic,0,3
2018,1,83,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,83,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,85,all,All,0,1
2018,1,85,race-ethnicity,Black,0,1
2018,1,85,race-ethnicity,Hispanic,NA,NA
2018,1,85,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,85,race-ethnicity,"White, Non-Hispanic",0,3
2018,1,87,all,All,0,1
2018,1,87,race-ethnicity,Black,0,1
2018,1,87,race-ethnicity,Hispanic,0,3
2018,1,87,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,87,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,89,all,All,0.211227154,1
2018,1,89,race-ethnicity,Black,0.315394181,1
2018,1,89,race-ethnicity,Hispanic,0.288207298,1
2018,1,89,race-ethnicity,Other Races and Ethnicities,0.183564815,2
2018,1,89,race-ethnicity,"White, Non-Hispanic",0.094481187,1
2018,1,91,all,All,0,1
2018,1,91,race-ethnicity,Black,0,1
2018,1,91,race-ethnicity,Hispanic,0,3
2018,1,91,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,91,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,93,all,All,0,1
2018,1,93,race-ethnicity,Black,0,2
2018,1,93,race-ethnicity,Hispanic,0,3
2018,1,93,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,93,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,95,all,All,0,1
2018,1,95,race-ethnicity,Black,0,2
2018,1,95,race-ethnicity,Hispanic,0,2
2018,1,95,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,95,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,97,all,All,0.192346052,1
2018,1,97,race-ethnicity,Black,0.317327182,1
2018,1,97,race-ethnicity,Hispanic,0.078897697,2
2018,1,97,race-ethnicity,Other Races and Ethnicities,0.050948845,1
2018,1,97,race-ethnicity,"White, Non-Hispanic",0.036334749,1
2018,1,99,all,All,0.219021491,1
2018,1,99,race-ethnicity,Black,0.245941362,1
2018,1,99,race-ethnicity,Hispanic,0,3
2018,1,99,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,99,race-ethnicity,"White, Non-Hispanic",0.198588235,2
2018,1,101,all,All,0.162470591,1
2018,1,101,race-ethnicity,Black,0.19005547,1
2018,1,101,race-ethnicity,Hispanic,0.05971564,2
2018,1,101,race-ethnicity,Other Races and Ethnicities,0.055919616,2
2018,1,101,race-ethnicity,"White, Non-Hispanic",0.07979408,1
2018,1,103,all,All,0.169363839,1
2018,1,103,race-ethnicity,Black,0.350114416,1
2018,1,103,race-ethnicity,Hispanic,0.332701678,2
2018,1,103,race-ethnicity,Other Races and Ethnicities,0.19731286,2
2018,1,103,race-ethnicity,"White, Non-Hispanic",0.029487037,1
2018,1,105,all,All,0.903484513,2
2018,1,105,race-ethnicity,Black,0.935316947,2
2018,1,105,race-ethnicity,Hispanic,NA,NA
2018,1,105,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,105,race-ethnicity,"White, Non-Hispanic",0.715648855,3
2018,1,107,all,All,0,1
2018,1,107,race-ethnicity,Black,0,1
2018,1,107,race-ethnicity,Hispanic,0,3
2018,1,107,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,107,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,109,all,All,0.279794602,1
2018,1,109,race-ethnicity,Black,0.145758123,1
2018,1,109,race-ethnicity,Hispanic,0.397590361,3
2018,1,109,race-ethnicity,Other Races and Ethnicities,0.318718381,3
2018,1,109,race-ethnicity,"White, Non-Hispanic",0.448737451,2
2018,1,111,all,All,0,1
2018,1,111,race-ethnicity,Black,0,2
2018,1,111,race-ethnicity,Hispanic,0,3
2018,1,111,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,111,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,113,all,All,0.205030023,1
2018,1,113,race-ethnicity,Black,0.310994593,1
2018,1,113,race-ethnicity,Hispanic,0.033261803,3
2018,1,113,race-ethnicity,Other Races and Ethnicities,0.101736973,3
2018,1,113,race-ethnicity,"White, Non-Hispanic",0.082410159,1
2018,1,115,all,All,0,1
2018,1,115,race-ethnicity,Black,0,2
2018,1,115,race-ethnicity,Hispanic,0,3
2018,1,115,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,115,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,117,all,All,0,1
2018,1,117,race-ethnicity,Black,0,2
2018,1,117,race-ethnicity,Hispanic,0,2
2018,1,117,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,117,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,119,all,All,0,1
2018,1,119,race-ethnicity,Black,0,1
2018,1,119,race-ethnicity,Hispanic,NA,NA
2018,1,119,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,1,119,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,121,all,All,0.165768457,1
2018,1,121,race-ethnicity,Black,0.231811895,1
2018,1,121,race-ethnicity,Hispanic,0.245708155,3
2018,1,121,race-ethnicity,Other Races and Ethnicities,0.200720072,3
2018,1,121,race-ethnicity,"White, Non-Hispanic",0.086694762,1
2018,1,123,all,All,0,1
2018,1,123,race-ethnicity,Black,0,1
2018,1,123,race-ethnicity,Hispanic,0,3
2018,1,123,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,123,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,125,all,All,0.24631511,1
2018,1,125,race-ethnicity,Black,0.248437409,1
2018,1,125,race-ethnicity,Hispanic,0.042692939,2
2018,1,125,race-ethnicity,Other Races and Ethnicities,0.244517032,2
2018,1,125,race-ethnicity,"White, Non-Hispanic",0.256825076,1
2018,1,127,all,All,0,1
2018,1,127,race-ethnicity,Black,0,2
2018,1,127,race-ethnicity,Hispanic,0,3
2018,1,127,race-ethnicity,Other Races and Ethnicities,0,2
2018,1,127,race-ethnicity,"White, Non-Hispanic",0,1
2018,1,129,all,All,0,2
2018,1,129,race-ethnicity,Black,0,2
2018,1,129,race-ethnicity,Hispanic,0,3
2018,1,129,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,129,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,131,all,All,0.24431469,1
2018,1,131,race-ethnicity,Black,0.275277008,1
2018,1,131,race-ethnicity,Hispanic,0,3
2018,1,131,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,131,race-ethnicity,"White, Non-Hispanic",0,2
2018,1,133,all,All,0,1
2018,1,133,race-ethnicity,Black,NA,NA
2018,1,133,race-ethnicity,Hispanic,0,3
2018,1,133,race-ethnicity,Other Races and Ethnicities,0,3
2018,1,133,race-ethnicity,"White, Non-Hispanic",0,1
2018,2,13,all,All,0,1
2018,2,13,race-ethnicity,Black,NA,NA
2018,2,13,race-ethnicity,Hispanic,0,3
2018,2,13,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,13,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,16,all,All,0,2
2018,2,16,race-ethnicity,Black,0,3
2018,2,16,race-ethnicity,Hispanic,0,3
2018,2,16,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,16,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,20,all,All,0,1
2018,2,20,race-ethnicity,Black,0,2
2018,2,20,race-ethnicity,Hispanic,0,2
2018,2,20,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,20,race-ethnicity,"White, Non-Hispanic",0,1
2018,2,50,all,All,0,1
2018,2,50,race-ethnicity,Black,NA,NA
2018,2,50,race-ethnicity,Hispanic,0,3
2018,2,50,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,50,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,60,all,All,0,2
2018,2,60,race-ethnicity,Black,NA,NA
2018,2,60,race-ethnicity,Hispanic,NA,NA
2018,2,60,race-ethnicity,Other Races and Ethnicities,0,3
2018,2,60,race-ethnicity,"White, Non-Hispanic",NA,NA
2018,2,68,all,All,0,3
2018,2,68,race-ethnicity,Black,NA,NA
2018,2,68,race-ethnicity,Hispanic,NA,NA
2018,2,68,race-ethnicity,Other Races and Ethnicities,0,3
2018,2,68,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,70,all,All,0,1
2018,2,70,race-ethnicity,Black,NA,NA
2018,2,70,race-ethnicity,Hispanic,0,3
2018,2,70,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,70,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,90,all,All,0,1
2018,2,90,race-ethnicity,Black,0,3
2018,2,90,race-ethnicity,Hispanic,0,3
2018,2,90,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,90,race-ethnicity,"White, Non-Hispanic",0,1
2018,2,100,all,All,0,3
2018,2,100,race-ethnicity,Black,NA,NA
2018,2,100,race-ethnicity,Hispanic,NA,NA
2018,2,100,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,2,100,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,105,all,All,0,2
2018,2,105,race-ethnicity,Black,NA,NA
2018,2,105,race-ethnicity,Hispanic,NA,NA
2018,2,105,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,105,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,110,all,All,0,2
2018,2,110,race-ethnicity,Black,0,3
2018,2,110,race-ethnicity,Hispanic,0,3
2018,2,110,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,110,race-ethnicity,"White, Non-Hispanic",0,2
2018,2,122,all,All,0,1
2018,2,122,race-ethnicity,Black,0,3
2018,2,122,race-ethnicity,Hispanic,0,3
2018,2,122,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,122,race-ethnicity,"White, Non-Hispanic",0,1
2018,2,130,all,All,0,1
2018,2,130,race-ethnicity,Black,NA,NA
2018,2,130,race-ethnicity,Hispanic,0,3
2018,2,130,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,130,race-ethnicity,"White, Non-Hispanic",0,2
2018,2,150,all,All,0,2
2018,2,150,race-ethnicity,Black,NA,NA
2018,2,150,race-ethnicity,Hispanic,0,3
2018,2,150,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,150,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,158,all,All,1,1
2018,2,158,race-ethnicity,Black,NA,NA
2018,2,158,race-ethnicity,Hispanic,NA,NA
2018,2,158,race-ethnicity,Other Races and Ethnicities,1,1
2018,2,158,race-ethnicity,"White, Non-Hispanic",NA,NA
2018,2,164,all,All,0,2
2018,2,164,race-ethnicity,Black,NA,NA
2018,2,164,race-ethnicity,Hispanic,NA,NA
2018,2,164,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,164,race-ethnicity,"White, Non-Hispanic",NA,NA
2018,2,170,all,All,0,1
2018,2,170,race-ethnicity,Black,0,3
2018,2,170,race-ethnicity,Hispanic,0,2
2018,2,170,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,170,race-ethnicity,"White, Non-Hispanic",0,1
2018,2,180,all,All,0,1
2018,2,180,race-ethnicity,Black,NA,NA
2018,2,180,race-ethnicity,Hispanic,NA,NA
2018,2,180,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,180,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,185,all,All,0,2
2018,2,185,race-ethnicity,Black,NA,NA
2018,2,185,race-ethnicity,Hispanic,NA,NA
2018,2,185,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,185,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,188,all,All,0,1
2018,2,188,race-ethnicity,Black,NA,NA
2018,2,188,race-ethnicity,Hispanic,NA,NA
2018,2,188,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,188,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,195,all,All,0,2
2018,2,195,race-ethnicity,Black,NA,NA
2018,2,195,race-ethnicity,Hispanic,NA,NA
2018,2,195,race-ethnicity,Other Races and Ethnicities,0,3
2018,2,195,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,198,all,All,0,1
2018,2,198,race-ethnicity,Black,NA,NA
2018,2,198,race-ethnicity,Hispanic,NA,NA
2018,2,198,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,198,race-ethnicity,"White, Non-Hispanic",0,2
2018,2,220,all,All,0,2
2018,2,220,race-ethnicity,Black,NA,NA
2018,2,220,race-ethnicity,Hispanic,NA,NA
2018,2,220,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,220,race-ethnicity,"White, Non-Hispanic",0,2
2018,2,230,all,All,0,3
2018,2,230,race-ethnicity,Black,NA,NA
2018,2,230,race-ethnicity,Hispanic,NA,NA
2018,2,230,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,2,230,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,240,all,All,0,2
2018,2,240,race-ethnicity,Black,NA,NA
2018,2,240,race-ethnicity,Hispanic,NA,NA
2018,2,240,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,240,race-ethnicity,"White, Non-Hispanic",0,2
2018,2,261,all,All,0,2
2018,2,261,race-ethnicity,Black,NA,NA
2018,2,261,race-ethnicity,Hispanic,NA,NA
2018,2,261,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,261,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,275,all,All,0,2
2018,2,275,race-ethnicity,Black,NA,NA
2018,2,275,race-ethnicity,Hispanic,NA,NA
2018,2,275,race-ethnicity,Other Races and Ethnicities,0,2
2018,2,275,race-ethnicity,"White, Non-Hispanic",0,3
2018,2,282,all,All,0,3
2018,2,282,race-ethnicity,Black,NA,NA
2018,2,282,race-ethnicity,Hispanic,NA,NA
2018,2,282,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,2,282,race-ethnicity,"White, Non-Hispanic",NA,NA
2018,2,290,all,All,0,1
2018,2,290,race-ethnicity,Black,NA,NA
2018,2,290,race-ethnicity,Hispanic,0,2
2018,2,290,race-ethnicity,Other Races and Ethnicities,0,1
2018,2,290,race-ethnicity,"White, Non-Hispanic",0,3
2018,4,1,all,All,0.63725213,1
2018,4,1,race-ethnicity,Black,0.738461538,3
2018,4,1,race-ethnicity,Hispanic,0.106284658,2
2018,4,1,race-ethnicity,Other Races and Ethnicities,0.692706947,1
2018,4,1,race-ethnicity,"White, Non-Hispanic",0.060691602,2
2018,4,3,all,All,0.095235737,1
2018,4,3,race-ethnicity,Black,0,3
2018,4,3,race-ethnicity,Hispanic,0.191516437,1
2018,4,3,race-ethnicity,Other Races and Ethnicities,0.06304,1
2018,4,3,race-ethnicity,"White, Non-Hispanic",0.008112012,1
2018,4,5,all,All,0.133854684,1
2018,4,5,race-ethnicity,Black,0.27027027,3
2018,4,5,race-ethnicity,Hispanic,0.143271003,1
2018,4,5,race-ethnicity,Other Races and Ethnicities,0.047790958,1
2018,4,5,race-ethnicity,"White, Non-Hispanic",0.23002295,1
2018,4,7,all,All,0.342678072,1
2018,4,7,race-ethnicity,Black,0,3
2018,4,7,race-ethnicity,Hispanic,0.102159468,2
2018,4,7,race-ethnicity,Other Races and Ethnicities,0.828700844,1
2018,4,7,race-ethnicity,"White, Non-Hispanic",0.003897116,1
2018,4,9,all,All,0.280539174,1
2018,4,9,race-ethnicity,Black,0,3
2018,4,9,race-ethnicity,Hispanic,0.115582592,2
2018,4,9,race-ethnicity,Other Races and Ethnicities,0.932573599,1
2018,4,9,race-ethnicity,"White, Non-Hispanic",0.001589825,1
2018,4,11,all,All,0,2
2018,4,11,race-ethnicity,Black,NA,NA
2018,4,11,race-ethnicity,Hispanic,0,3
2018,4,11,race-ethnicity,Other Races and Ethnicities,0,3
2018,4,11,race-ethnicity,"White, Non-Hispanic",0,2
2018,4,12,all,All,0,1
2018,4,12,race-ethnicity,Black,NA,NA
2018,4,12,race-ethnicity,Hispanic,0,2
2018,4,12,race-ethnicity,Other Races and Ethnicities,0,2
2018,4,12,race-ethnicity,"White, Non-Hispanic",0,2
2018,4,13,all,All,0.151682468,1
2018,4,13,race-ethnicity,Black,0.163379757,1
2018,4,13,race-ethnicity,Hispanic,0.203843017,1
2018,4,13,race-ethnicity,Other Races and Ethnicities,0.200194974,1
2018,4,13,race-ethnicity,"White, Non-Hispanic",0.063505911,1
2018,4,15,all,All,0.028955122,1
2018,4,15,race-ethnicity,Black,0,3
2018,4,15,race-ethnicity,Hispanic,0.048798912,1
2018,4,15,race-ethnicity,Other Races and Ethnicities,0,1
2018,4,15,race-ethnicity,"White, Non-Hispanic",0.027306821,1
2018,4,17,all,All,0.429367105,1
2018,4,17,race-ethnicity,Black,0.082051282,3
2018,4,17,race-ethnicity,Hispanic,0.034958307,2
2018,4,17,race-ethnicity,Other Races and Ethnicities,0.592140422,1
2018,4,17,race-ethnicity,"White, Non-Hispanic",0.010614442,1
2018,4,19,all,All,0.143994507,1
2018,4,19,race-ethnicity,Black,0.14733441,1
2018,4,19,race-ethnicity,Hispanic,0.106040501,1
