state,county,state_name,county_name,population,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
1,1,Alabama,Autauga County,55601,all,All,2363.0354,2
1,1,Alabama,Autauga County,55601,race-ethnicity,Black,3187.7195,2
1,1,Alabama,Autauga County,55601,race-ethnicity,Other Races,NA,NA
1,1,Alabama,Autauga County,55601,race-ethnicity,White,2294.4094,2
1,3,Alabama,Baldwin County,218022,all,All,2066.0569,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,Black,6659.5059,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,Other Races,66.979233,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,White,1735.4069,1
1,5,Alabama,Barbour County,24881,all,All,1681.2625,2
1,5,Alabama,Barbour County,24881,race-ethnicity,Black,2263.2073,2
1,5,Alabama,Barbour County,24881,race-ethnicity,Other Races,NA,NA
1,5,Alabama,Barbour County,24881,race-ethnicity,White,1019.7755,2
1,7,Alabama,Bibb County,22400,all,All,194.11369,1
1,7,Alabama,Bibb County,22400,race-ethnicity,Black,118.11863,1
1,7,Alabama,Bibb County,22400,race-ethnicity,Other Races,NA,NA
1,7,Alabama,Bibb County,22400,race-ethnicity,White,457.10104,1
1,9,Alabama,Blount County,57840,all,All,283.30939,2
1,9,Alabama,Blount County,57840,race-ethnicity,Black,702.00073,2
1,9,Alabama,Blount County,57840,race-ethnicity,Other Races,NA,NA
1,9,Alabama,Blount County,57840,race-ethnicity,White,257.86841,2
1,11,Alabama,Bullock County,10138,all,All,187.30449,1
1,11,Alabama,Bullock County,10138,race-ethnicity,Black,306.65439,1
1,11,Alabama,Bullock County,10138,race-ethnicity,Other Races,NA,NA
1,11,Alabama,Bullock County,10138,race-ethnicity,White,NA,NA
1,13,Alabama,Butler County,19680,all,All,3154.3328,1
1,13,Alabama,Butler County,19680,race-ethnicity,Black,13851.033,1
1,13,Alabama,Butler County,19680,race-ethnicity,Other Races,NA,NA
1,13,Alabama,Butler County,19680,race-ethnicity,White,518.78052,1
1,15,Alabama,Calhoun County,114277,all,All,1415.608,2
1,15,Alabama,Calhoun County,114277,race-ethnicity,Black,2179.5706,2
1,15,Alabama,Calhoun County,114277,race-ethnicity,Other Races,NA,NA
1,15,Alabama,Calhoun County,114277,race-ethnicity,White,1202.0216,2
1,17,Alabama,Chambers County,33615,all,All,1037.1406,1
1,17,Alabama,Chambers County,33615,race-ethnicity,Black,2597.875,1
1,17,Alabama,Chambers County,33615,race-ethnicity,Other Races,NA,NA
1,17,Alabama,Chambers County,33615,race-ethnicity,White,419.34525,1
1,19,Alabama,Cherokee County,26032,all,All,547.34998,1
1,19,Alabama,Cherokee County,26032,race-ethnicity,Black,163.64897,1
1,19,Alabama,Cherokee County,26032,race-ethnicity,Other Races,NA,NA
1,19,Alabama,Cherokee County,26032,race-ethnicity,White,680.2652,1
