year,state,county,state_name,county_name,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,housing_quality,homeless_count,homeless_share,homeless_count_lb,homeless_count_ub,homeless_quality,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2014,06,001,California,Alameda County,0.9758834494,1.0871416519,1.2435620357,1,3481,0.015603218,3480,3482,1,0.4270743042,0.4516289619,0.4025196464,0.5505302076,0.5790951887,0.5219652266,0.7034675373,0.7359394169,0.6709956577,1
2014,06,019,California,Fresno County,1.000988301,1.0176954776,1.2524472409,1,4042,0.020656385,4041,4043,1,0.4647464323,0.498455434,0.4310374306,0.6433963967,0.6826166989,0.6041760944,0.6855953569,0.7260092326,0.6451814813,1
2014,06,037,California,Los Angeles County,0.7001919381,0.890574045,1.1260092808,1,49841,0.032859936,49839,49843,1,0.467339886,0.4761434313,0.4585363407,0.6096527051,0.6196708558,0.5996345545,0.7809129438,0.7916341504,0.7701917372,1
2014,06,071,California,San Bernardino County,0.9551969572,0.9486480576,1.197885438,1,30552,0.077651739,30552,30552,1,0.507787234,0.5350588125,0.4805156555,0.6631535997,0.6938620851,0.6324451144,0.740201483,0.7719697731,0.7084331929,1
2015,06,001,California,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,019,California,Fresno County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,037,California,Los Angeles County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,071,California,San Bernardino County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,001,California,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,019,California,Fresno County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,037,California,Los Angeles County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,071,California,San Bernardino County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,001,California,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,019,California,Fresno County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,037,California,Los Angeles County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,071,California,San Bernardino County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,001,California,Alameda County,0.9155266825,1.0177805063,1.2443790886,1,4005,0.018460389,3994,4016,1,0.4192794694,0.4440050071,0.3945539317,0.5511304836,0.5810027752,0.521258192,0.6806710862,0.7156873889,0.6456547834,1
2018,06,019,California,Fresno County,0.8723456756,0.9766897914,1.2590552981,1,4451,0.021801956,4446,4456,1,0.413575016,0.4469588577,0.3801911743,0.5791716273,0.6202825604,0.5380606942,0.6226103675,0.6662029324,0.5790178025,1
2018,06,037,California,Los Angeles County,0.6314047011,0.8724513654,1.1399173892,1,67947,0.047755431,67887,68005,1,0.4387426021,0.4476570726,0.4298281315,0.5933356621,0.6039309606,0.5827403635,0.7573545716,0.7690809478,0.7456281955,1
2018,06,071,California,San Bernardino County,0.9260257511,0.9875290006,1.1913790671,1,31807,0.079848275,31804,31810,1,0.4715179453,0.4999764167,0.443059474,0.6432788729,0.6771806488,0.6093770969,0.7128052549,0.7501466217,0.6754638881,1
