state,county,state_name,county_name,population,subgroup_type,subgroup,pctl_20,pctl_50,pctl_80,pctl_quality,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,famstruc_quality,lbw,lbw_lb,lbw_ub,lbw_quality,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,preschool_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,hs_degree_quality,share_employed,share_employed_ub,share_employed_lb,employed_quality
13,121,Georgia,Fulton County,1050114,all,All,28366.72,70916.79,162095.5,1,0.5751423171,0.5982961235,0.5519885106,0.0514902424,0.0618415775,0.0411389073,0.0512513089,0.0615798998,0.0409227181,0.2906753738,0.3119440097,0.2694067378,0.0069887132,0.0108907261,0.0030867003,0.0244520447,0.0316863178,0.0172177716,1,0.11636738,0.11077731,0.12195744,1,0.9408977,0.91367841,0.968117,1,0.5422999646,0.6167563774,0.4678435518,1,0.8435957305,0.9029246329,0.7842668281,1,0.8288386003,0.84079547080000006,0.8168817299,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,"Black, Non-Hispanic",15541.97493,41133.146142,81047.76,1,0.2887305121,0.3041597065,0.2733013178,0.0650947225,0.0734938953,0.0566955498,0.0718475506,0.0806397081,0.0630553931,0.5082836917,0.5253048932,0.4912624902,0.0080243335,0.0110619631,0.0049867039,0.0580191896,0.0659787059,0.0500596733,1,0.15911283,0.15002391,0.16820174,1,0.95330077,0.92323375,0.9833678,1,0.4917408519,0.54338434,0.4400973638,1,0.8539700653,0.894544441,0.8133956896,1,0.7622311165,0.7730849505,0.7513772824,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,Hispanic,25644.122188,54913.629834,111440.67,1,0.6377949826,0.671678158,0.6039118071,0.0854937913,0.1052056212,0.0657819615,0.0644704315,0.0817835528,0.0471573102,0.1735597409,0.2002588367,0.1468606451,0.0093783665,0.0161732783,0.0025834546,0.0293026872,0.0411921426,0.0174132318,1,0.082980528,0.067247637,0.09871342,1,0.97099328,0.90986371,1.0321229,1,0.4316017477,0.5422332151,0.3209702802,3,0.6775042404,0.7967788705,0.5582296102,3,0.7915266699,0.8139211282,0.7691322115,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,Other Races and Ethnicities,41962.321122,96357.210999,182353.7795,1,0.8504439879,0.8725928387,0.828295137,0.0112680544,0.0178233179,0.0047127909,0.0162272465,0.0240741121,0.0083803809,0.108357637,0.1276618239,0.0890534502,0.0018573444,0.0045313907,0,0.0118457298,0.0185649626,0.005126497,1,0.096923076,0.080840327,0.11300582,1,NA,NA,NA,NA,0.5525069306,0.6422244154,0.4627894459,1,0.9216707679,0.9855340826,0.8578074531,3,0.7948478312,0.8129247775,0.7767708849,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,"White, Non-Hispanic",43723.81236,100686.10658,218328.61899,1,0.8380430235,0.8497676128,0.8263184342,0.0163497129,0.0203856099,0.0123138159,0.0260017019,0.0310662959,0.0209371079,0.1096599897,0.1196041175,0.0997158619,0.001688029,0.0029944638,3.815942e-4,0.0082575431,0.0111375234,0.0053775627,1,0.064356439,0.05659299,0.072119892,1,0.82884675,0.78068632,0.87700719,1,0.6890103565,0.7351897534,0.6428309596,1,0.9381993505,0.971405955,0.9049927459,1,0.8596948496,0.8665518902,0.8528378089,1
17,031,Illinois,Cook County,5180493,all,All,24314.33,62710.7,135045.8,1,0.6079978066,0.6187160142,0.597279599,0.0582651686,0.0634079223,0.0531224148,0.0499116361,0.0546925378,0.0451307344,0.2482571704,0.2577416271,0.2387727137,0.0074987077,0.0093927325,0.0056046829,0.0280695106,0.0316957956,0.0244432256,1,0.089646012,0.087392844,0.091899179,1,1.1297832,1.1070415,1.1525248,2,0.5480846718,0.5813475028,0.5148218407,1,0.8859664044,0.9109460295,0.8609867794,1,0.80812399,0.8141295426,0.8021184374,1
17,031,Illinois,Cook County,5180493,race-ethnicity,"Black, Non-Hispanic",13036.45728,37874.42615,84960.09978,1,0.2386448587,0.2474460054,0.229843712,0.0569257227,0.0617097847,0.0521416606,0.0844717249,0.0902136978,0.078729752,0.5481912565,0.5584669926,0.5379155203,0.0110525945,0.0132112747,0.0088939144,0.0607138427,0.0656445861,0.0557830994,1,0.14074609,0.13522224,0.14626993,1,1.0796157,1.0466384,1.1125931,2,0.5344391341,0.5671923976,0.5016858706,1,0.8157488247,0.8409106426,0.79058700690000006,1,0.6945316937,0.7019271148,0.6871362727,1
17,031,Illinois,Cook County,5180493,race-ethnicity,Hispanic,24314.328,51720.29192,96357.210999,1,0.5988001651,0.6070849425,0.5905153877,0.0981596838,0.1031887913,0.0931305764,0.0662399954,0.0704437495,0.0620362414,0.2117786876,0.2186846583,0.2048727169,0.0050574298,0.0062564416,0.003858418,0.0199640382,0.0223283498,0.0175997265,1,0.078085497,0.074099272,0.082071722,1,1.2050643,1.176815,1.2333136,2,0.4549699359,0.4808434371,0.4290964348,1,0.8477011494,0.8670776061,0.8283246928,1,0.7773181124,0.783192425,0.7714437998,1
17,031,Illinois,Cook County,5180493,race-ethnicity,Other Races and Ethnicities,26390.315248,73376.929785,151964.55,1,0.803785489,0.8153376647,0.7922333132,0.0182142367,0.0221041686,0.0143243048,0.038229781,0.0438076038,0.0326519582,0.1199103918,0.1293601349,0.1104606487,0.0043523979,0.0062672943,0.0024375016,0.0155077036,0.0191019517,0.0119134555,1,0.096264601,0.088848673,0.10368053,1,NA,NA,NA,NA,0.5758605407,0.6168669716,0.5348541098,1,0.958719362,0.9794141435,0.9380245806,1,0.7888009358,0.7973915881,0.7802102835,1
17,031,Illinois,Cook County,5180493,race-ethnicity,"White, Non-Hispanic",32006.401075,80016.5069,161463.96182,1,0.8160140555,0.8220381847,0.8099899264,0.0352968416,0.0381657581,0.0324279251,0.0284869864,0.0310734162,0.0259005566,0.1065415469,0.111338327,0.1017447668,0.0036854936,0.0046275984,0.0027433889,0.0099750759,0.0115200966,0.0084300552,1,0.061743286,0.058590077,0.064896494,1,0.97234076,0.90938759,1.0352939,3,0.6223166894,0.6449989916,0.5996343872,1,0.9353053767,0.9492934745,0.9213172789,1,0.847414676,0.8508499443,0.8439794077,1
24,510,Maryland,Baltimore city,602495,all,All,16817.41,50654.85,107894.8,1,0.4269232938,0.4609662251,0.3928803626,0.0884686964,0.1080132723,0.0689241204,0.0809761285,0.099751457,0.0622008,0.3551799425,0.3881173285,0.3222425565,0.0046083321,0.0092697123,0,0.0438436067,0.0579353022,0.0297519113,1,0.11864407,0.11140709,0.12588105,1,0.68932289,0.57930321,0.79934257,3,0.5160723397,0.6176410906,0.4145035888,1,0.8135985686,0.9082722145,0.7189249226,1,0.7862616654,0.8035460312,0.7689772996,1
