year,state,county,state_name,county_name,population,pctl_20,pctl_50,pctl_80,pctl_quality,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,housing_quality,homeless_count,homeless_share,homeless_count_lb,homeless_count_ub,homeless_quality,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,famstruc_quality,hpsa_yn,hpsa_yn_quality,lbw,lbw_lb,lbw_ub,lbw_quality,asian_other,asian_other_quality,black_nonhispanic,black_nonhispanic_quality,hispanic,hispanic_quality,white_nonhispanic,white_nonhispanic_quality,election_turnout,election_turnout_quality,environmental,environmental_quality,poverty_exposure,poverty_exposure_quality,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,violent_crime_rate,property_crime_rate,crime_rate_quality,juvenile_arrest_rate,juvenile_arrest_rate_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,hs_degree_quality,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,preschool_quality,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality,share_employed,share_employed_ub,share_employed_lb,employed_quality,average_to_living_wage_ratio,wage_ratio_quality
2014,13,121,Georgia,Fulton County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4207129917,1.1680877552,1.0222487063,1,4508,0.030297125,4508,4508,1,0.4168420566,0.4455258776,0.3881582356,0.5955750443,0.6294575695,0.5616925191,0.6845340333,0.7203695435,0.6486985232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.012587506592077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1858867,1
2014,17,031,Illinois,Cook County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3481846708,1.1648802493,0.864597598,1,26737,0.035027891,26732,26742,1,0.4161209214,0.4305921694,0.4016496734,0.556956577,0.5739749047,0.5399382492,0.6942811577,0.7129124662,0.6756498493,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.496965038691908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94795668,1
2014,24,510,Maryland,Baltimore city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38219191,1.2799450106,1.0843852927,1,2079,0.024349395,2079,2079,1,0.3768928992,0.4074374092,0.3463483892,0.4714939762,0.5067761997,0.4362117527,0.639767344,0.6804854921,0.599049196,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7112383511364,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91182595,1
2014,42,101,Pennsylvania,Philadelphia County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3373188693,1.2731918595,1.0229543472,1,4059,0.021853598,4037,4081,1,0.4245661535,0.4508359678,0.3982963392,0.5485998939,0.5786003091,0.5185994787,0.6888380878,0.7214968119,0.6561793638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.250980658340444,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9814328,1
2015,13,121,Georgia,Fulton County,1010562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.36829,4715.792,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9408977,0.91367841,0.968117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,17,031,Illinois,Cook County,5238216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.11438,2423.9167,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1297832,1.1070415,1.1525248,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,24,510,Maryland,Baltimore city,621849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557.452,5095.1274,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68932289,0.57930321,0.79934257,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,42,101,Pennsylvania,Philadelphia County,1567442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.9584,3152.2061,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94933671,0.91748798,0.98118544,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,13,121,Georgia,Fulton County,1023336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6170265109526636,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.02,77.96,1,1,NA,NA,NA,3022.1445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,17,031,Illinois,Cook County,5203499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6147579617380903,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.17,81.47,1,1,NA,NA,NA,1845.2437,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
